YZ,BOTTOM,TOP
乐群性,-1,-1
聪慧性,-1,-1
稳定性,-1,-1
恃强性,-1,-1
兴奋性,-1,-1
有恒性,-1,-1
敢为性,-1,-1
敏感性,-1,-1
怀疑性,-1,-1
幻想性,-1,-1
世故性,-1,-1
忧虑性,-1,-1
实验性,-1,-1
独立性,-1,-1
自律性,-1,-1
紧张性,-1,-1
YZ,BOTTOM,TOP
乐群性,-1,-1
聪慧性,-1,-1
稳定性,-1,-1
恃强性,-1,-1
兴奋性,-1,-1
有恒性,-1,-1
敢为性,-1,-1
敏感性,-1,-1
怀疑性,-1,-1
幻想性,-1,-1
世故性,-1,-1
忧虑性,-1,-1
实验性,-1,-1
独立性,-1,-1
自律性,-1,-1
紧张性,-1,-1
YZ,BOTTOM,TOP
乐群性,-1,-1
聪慧性,-1,-1
稳定性,-1,-1
恃强性,-1,-1
兴奋性,-1,-1
有恒性,-1,-1
敢为性,-1,-1
敏感性,-1,-1
怀疑性,-1,-1
幻想性,-1,-1
世故性,-1,-1
忧虑性,-1,-1
实验性,-1,-1
独立性,-1,-1
自律性,-1,-1
紧张性,-1,-1
