YZ,CD1TOP,CD2BOTTOM,CD2TOP,CD3BOTTOM
亲密度,-1,-1,-1,-1
情感表达,-1,-1,-1,-1
矛盾性,-1,-1,-1,-1
独立性,-1,-1,-1,-1
成功性,-1,-1,-1,-1
知识性,-1,-1,-1,-1
娱乐性,-1,-1,-1,-1
道德宗教观,-1,-1,-1,-1
组织性,-1,-1,-1,-1
控制性,-1,-1,-1,-1
YZ,CD1TOP,CD2BOTTOM,CD2TOP,CD3BOTTOM
亲密度,-1,-1,-1,-1
情感表达,-1,-1,-1,-1
矛盾性,-1,-1,-1,-1
独立性,-1,-1,-1,-1
成功性,-1,-1,-1,-1
知识性,-1,-1,-1,-1
娱乐性,-1,-1,-1,-1
道德宗教观,-1,-1,-1,-1
组织性,-1,-1,-1,-1
控制性,-1,-1,-1,-1
YZ,CD1TOP,CD2BOTTOM,CD2TOP,CD3BOTTOM
亲密度,-1,-1,-1,-1
情感表达,-1,-1,-1,-1
矛盾性,-1,-1,-1,-1
独立性,-1,-1,-1,-1
成功性,-1,-1,-1,-1
知识性,-1,-1,-1,-1
娱乐性,-1,-1,-1,-1
道德宗教观,-1,-1,-1,-1
组织性,-1,-1,-1,-1
控制性,-1,-1,-1,-1
