YZ,CD1BOTTOM,CD1TOP,CD2BOTTOM,CD2TOP,CD3BOTTOM,CD3TOP,CD4BOTTOM
躯体化,-1,-1,-1,-1,-1,-1,-1
强迫症状,-1,-1,-1,-1,-1,-1,-1
人际关系,-1,-1,-1,-1,-1,-1,-1
抑郁,-1,-1,-1,-1,-1,-1,-1
焦虑,-1,-1,-1,-1,-1,-1,-1
敌对,-1,-1,-1,-1,-1,-1,-1
恐怖,-1,-1,-1,-1,-1,-1,-1
偏执,-1,-1,-1,-1,-1,-1,-1
精神病性,-1,-1,-1,-1,-1,-1,-1
YZ,CD1BOTTOM,CD1TOP,CD2BOTTOM,CD2TOP,CD3BOTTOM,CD3TOP,CD4BOTTOM
躯体化,-1,-1,-1,-1,-1,-1,-1
强迫症状,-1,-1,-1,-1,-1,-1,-1
人际关系,-1,-1,-1,-1,-1,-1,-1
抑郁,-1,-1,-1,-1,-1,-1,-1
焦虑,-1,-1,-1,-1,-1,-1,-1
敌对,-1,-1,-1,-1,-1,-1,-1
恐怖,-1,-1,-1,-1,-1,-1,-1
偏执,-1,-1,-1,-1,-1,-1,-1
精神病性,-1,-1,-1,-1,-1,-1,-1
YZ,CD1BOTTOM,CD1TOP,CD2BOTTOM,CD2TOP,CD3BOTTOM,CD3TOP,CD4BOTTOM
躯体化,-1,-1,-1,-1,-1,-1,-1
强迫症状,-1,-1,-1,-1,-1,-1,-1
人际关系,-1,-1,-1,-1,-1,-1,-1
抑郁,-1,-1,-1,-1,-1,-1,-1
焦虑,-1,-1,-1,-1,-1,-1,-1
敌对,-1,-1,-1,-1,-1,-1,-1
恐怖,-1,-1,-1,-1,-1,-1,-1
偏执,-1,-1,-1,-1,-1,-1,-1
精神病性,-1,-1,-1,-1,-1,-1,-1
